yahoo_ticker,name,market,surge_ratio,adtv_recent,adtv_2024,n_days_2024,recent_start,recent_end
5TP.SI,CNMC Goldmine,MAINBOARD,33.13423771555576,3554341.396045685,107270.95720620737,252,2026-09-15,2026-09-21
H22.SI,Hong Leong Asia,MAINBOARD,25.4823933148673,3842073.2375579835,150773.64163107815,252,2026-09-15,2026-09-21
P8Z.SI,Bumitama Agri,MAINBOARD,22.3795855134499,9925101.110696793,443489.0496399904,252,2026-09-15,2026-09-21
U10.SI,UOB Kay Hian,MAINBOARD,14.924215566281886,3221799.9620342255,215877.34026793356,252,2026-09-15,2026-09-21
EB5.SI,First Resources,MAINBOARD,12.628447671762084,19779235.68922043,1566244.4192129732,252,2026-09-15,2026-09-21
I07.SI,ISDN,MAINBOARD,8.842733017746903,2534110.0566387177,286575.43448986765,252,2026-09-15,2026-09-21
AWX.SI,AEM SGD,MAINBOARD,6.491377779154341,31778425.95308304,4895482.443670525,252,2026-09-15,2026-09-21
E5H.SI,Golden Agri-Res,MAINBOARD,6.1425014975968475,20700722.22142577,3370080.126073162,252,2026-09-15,2026-09-21
F03.SI,Food Empire,MAINBOARD,5.851223351047639,3920800.12840271,670082.1167082445,252,2026-09-15,2026-09-21
D01.SI,DFIRG USD,MAINBOARD,5.659414820009012,10249415.841010284,1811038.0961602605,252,2026-09-15,2026-09-21
