id,stock_code,issuer_name,buyback_date,title,url
A4IWRCX56AO8F1RM,AGS,THE HOUR GLASS LIMITED,2026-07-29,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/A4IWRCX56AO8F1RM/cbbc04f884fa63474085db31d9a67906f4715edc3619d65643fa3ba00ebc6dcd
WD9D6GIGV4ZZ47RW,NEX,RECLAIMS GLOBAL LIMITED,2026-07-29,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/WD9D6GIGV4ZZ47RW/89ab1adc08ed07c57eed097b4779fc2edebfc984fea0ff111e7d1e4dfe357757
CQ7TBLF9XS13TGRF,AGS,THE HOUR GLASS LIMITED,2026-07-30,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/CQ7TBLF9XS13TGRF/195eb0e4020c2249cea2f0820d04baff2d7416b944ca7ae39ea47c06be241fe0
Y3710U8M4JORIHC0,BN2,VALUETRONICS HOLDINGS LIMITED,2026-07-30,Share Buy Back - Daily Share Buy-Back Notice::Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/Y3710U8M4JORIHC0/144858d744ba239c82559b6e7fd88cb54df1bf292d5b83a7168a22ff14941bf1
OG6BN0X34M8DM847,BN4,KEPPEL LTD.,2026-07-30,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/OG6BN0X34M8DM847/0450d33fc798f45b3b8b9b7fabe43be4d70c1ec78e95c1542bc5df53f17746e1
BX2XS29RS7DD7JLZ,BSL,RAFFLES MEDICAL GROUP LTD,2026-07-30,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/BX2XS29RS7DD7JLZ/00e0af28eb06676eb72cc5e5765a81b4dfbd9d33f77e44cf7de57ec8f0865dc7
RP6BBXUXW6TI1OFE,H07,STAMFORD LAND CORPORATION LTD,2026-07-30,Share Buy Back - Daily Share Buy-Back Notice::Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/RP6BBXUXW6TI1OFE/f02c434ab0a76b3c7875a76c4f3bd3e4340df12e70cdaf2145f5ff145e5f0f08
6IX4SH90EHQXLRKE,NEX,RECLAIMS GLOBAL LIMITED,2026-07-30,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/6IX4SH90EHQXLRKE/1d2f99756ac55774a68669e0bd2ed4a78a1dd691a90583a69a90e52b2447b526
LK8UICP46K0YNRS8,BN4,KEPPEL LTD.,2026-07-31,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/LK8UICP46K0YNRS8/d6f40a26cdd55d29e4a6b42c4dec00218ce14993d870418070b23087868e5310
SIBB1WPRTT5ANZFS,BSL,RAFFLES MEDICAL GROUP LTD,2026-07-31,Share Buy Back - Daily Share Buy-Back Notice::Share Buy Back - Daily Share Buy-Back Notice,https://links.sgx.com/1.0.0/corporate-announcements/SIBB1WPRTT5ANZFS/e8e6c20e400612b61f6ab6d7cd5db1133c7d4cb3ad6d13c271e6aae3a090aae3
